4000	45
4002	24
4005	472
4010	91
4015	37
4020	1
4030	292
4040	204
4061	1940
4064	614
4065	4
4070	4
4072	180
4074	18
4076	36
4077	1
4085	5
4090	245
4095	6
4200	2
4225	8
4250	15
4252	8
4253	16
4254	2
4256	30
4260	7
4266	3
4268	1
4272	47
4274	2
4278	7
4280	3
4282	20
4284	6
4285	3
4286	16
4300	13
4301	8
4302	3
4304	1
4306	4
4308	2
4309	1
4310	3
4311	1
4312	4
4316	8
4319	8
4350	3
4356	1
4650	9
4652	82
4658	6
4800	5
4801	5
4802	1
4804	3
4806	4
4810	11
4850	52
4855	3
4870	23
4890	6
4905	5
4908	2
4911	4
4912	1
4914	1
4920	1
4925	1
4930	2
4934	2
4945	22
4960	2
4989	83
5002	216
5010	422
5460	1
5500	11
5540	28
5580	2
5585	50
5586	30
5590	3
5595	2
6000	3
6002	1
6004	1
6006	1
6008	4
6020	2
6022	1
6024	13
6026	2
6028	1
6030	43
6100	11
6150	2
6175	4
6200	2
6216	11
6218	2
6219	4
6220	10
6221	2
6222	5
6223	5
6224	2
6225	4
6250	2
6260	16
6261	28
6265	2
6270	4
6280	3
6282	38
6284	2
6290	3
6475	7
6800	9
6815	2
6830	1
6835	4
6845	4
6875	1
6885	1
7200	20
7206	11
7210	1
7220	4
7900	7
8100	3
8175	2
8176	2
8300	156
8302	41
8305	17
8306	4
8310	33
8315	9
8320	222
8330	119
8333	29
8363	5
8365	29
8366	14
8368	170
8370	110
8373	64
8375	61
8380	24
8381	24
8382	11
8387	4
8390	27
8392	3
8393	53
8394	4
8395	10
8396	8
8397	6
8399	4
8400	2871
8401	89
8402	0
8403	0
8404	284
8405	67
8406	109
8410	34
8412	45
8415	164
8425	90
8427	17
8428	59
8440	219
8441	118
8443	48
8444	22
8445	13
8447	6
8500	553
8510	38
8515	70
8516	104
8517	35
8580	5
8582	20
8583	10
8587	33
8590	1138
8591	26
8593	98
8595	285
8596	232
8599	3688
8601	93
8602	55
8604	64
8606	2382
8607	266
8612	65
8616	1639
8620	994
8700	30
8704	334
8706	42
8708	1116
8709	9
24829
